original_index,model,original_text,clean_text,airline,negativereason,true_label,pred_label,confusion_pair,error_category,notes;
"10905,BiLSTM,@USAirways made it.. Never ran so fast in my life,made it never ran so fast in my life,US Airways,,neutral,positive,neutral -> positive,neutral_request_or_information,""This is mainly a personal update about catching the flight, not a clear opinion about the airline or its service.""";
"2484,BiLSTM,""@United come on, reopen 1285 at ORD and clear your growing DC backlog"",come on reopen at ord and clear your growing dc backlog,United,Late Flight,negative,neutral,negative -> neutral,implicit_negative_or_complaint,""Complaint about delay/backlog, but the language is short and directive rather than explicitly emotional.""";
"10635,BiLSTM,""@USAirways Umm, can you define 'extra time'?"",umm can you define extra time,US Airways,Can't Tell,negative,neutral,negative -> neutral,implicit_negative_or_complaint,Sarcastic or critical question ('can you define extra time?') expresses dissatisfaction indirectly.";
"13871,BiLSTM,@AmericanAir due to gate agents I missed my connecting flight to Mexico City...not a happy customer AA- let's correct this,due to gate agents missed my connecting flight to mexico citynot happy customer aa lets correct this,American,Flight Attendant Complaints,negative,positive,negative -> positive,preprocessing_or_context_loss,""Preprocessing merged 'city' and 'not' into 'citynot', which weakens the important negative cue 'not happy customer'. This likely made the complaint harder to classify correctly.""";
"4037,BiLSTM,""@united captain """"we apologize for the delay, the company is looking for an open gate (glance starboard side, see 5 open gates)"",captain we apologize for the delay the company is looking for an open gate glance starboard side see open gates,United,,neutral,negative,neutral -> negative,possible_label_noise_or_hard_case,The tweet reads as negative because it criticizes the airline's delay explanation sarcastically. The true neutral label seems debatable.";
"14498,BiLSTM,@AmericanAir since we are leaving tomorrow to miami can you do one thing right and deliver the bags to the airport?,since we are leaving tomorrow to miami can you do one thing right and deliver the bags to the airport,American,Lost Luggage,negative,neutral,negative -> neutral,implicit_negative_or_complaint,""Complaint about lost luggage delivery, but expressed as a request to fix the problem rather than direct sentiment.""";
"4891,BiLSTM,“@SouthwestAir: Companion Pass. Because everyone deserves #RedCarpet treatment and a +1 (even if it's your mom). http://t.co/QjKL4aBprG”,companion pass because everyone deserves redcarpet treatment and even if its your mom,Southwest,,positive,negative,positive -> negative,positive_but_informal_or_subtle,""Clearly promotional/positive message, but Twitter-specific phrasing and hashtags may make sentiment less obvious to the model.""";
"2014,BiLSTM,@united it can't be delivered. It has to be held there for me to cross the border to pick up. Please don't try to deliver.,it cant be delivered it has to be held there for me to cross the border to pick up please dont try to deliver,United,,neutral,negative,neutral -> negative,neutral_request_or_information,""Mainly clarifies delivery instructions and asks the airline not to deliver, without explicit sentiment.""";
"3659,BiLSTM,@united it's kinda funny. No worries.,its kinda funny no worries,United,,positive,neutral,positive -> neutral,positive_but_informal_or_subtle,""Positive reassurance ('No worries') is brief and informal, which may weaken the positive signal.""";
"14121,BiLSTM,@AmericanAir you wont allow calls? My husband has a ticket but it looks like all the seats are taken? I cant even call.,you wont allow calls my husband has ticket but it looks like all the seats are taken cant even call,American,,neutral,negative,neutral -> negative,possible_label_noise_or_hard_case,""Although the true label is neutral, the tweet expresses frustration about not being able to call and about seat availability. This makes it a borderline case between neutral service inquiry and negative complaint.""";
"28,Logistic Regression,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,amazing to me that we cant get any cold air from the vents vx noair worstflightever roasted sfotobos,Virgin America,Bad Flight,negative,neutral,negative -> neutral,implicit_negative_or_complaint,""Complaint about poor flight conditions, but begins with the misleading token 'amazing' and uses hashtag-based negativity.""";
"1997,Logistic Regression,@united can you not get the first flight of the day off the ground on time?   #1531.  Let's go.......,can you not get the first flight of the day off the ground on time lets go,United,Late Flight,negative,neutral,negative -> neutral,implicit_negative_or_complaint,""Complaint about delay is phrased as a rhetorical question, which makes the negative sentiment less direct.""";
"12671,Logistic Regression,Keep it up :) @AmericanAir,keep it up,American,,positive,neutral,positive -> neutral,positive_but_informal_or_subtle,""Short positive encouragement ('Keep it up') lacks strong context, so it can look neutral.""";
"2133,Logistic Regression,@united do you expect to Cancelled Flight flights out of @DENAirport tomorrow morning given the storm?,do you expect to cancelled flight flights out of tomorrow morning given the storm,United,Cancelled Flight,negative,neutral,negative -> neutral,possible_label_noise_or_hard_case,""The tweet is phrased as a neutral question about expected cancellations, but because it concerns a disruptive travel problem it may have been annotated as negative. This makes it a borderline case.""";
5140,Logistic Regression,@SouthwestAir just sent another 4 drink coupons....I think I have over 30 coupons now. free drinks anyone?,just sent another drink couponsi think have over coupons now free drinks anyone,Southwest,,positive,negative,positive -> negative,mixed_or_ambiguous_sentiment,Positive content about free drink coupons may be read sarcastically because of exaggeration ('over 30 coupons now').;
"10350,Logistic Regression,@USAirways yes - tells me the only way to mod plans is to call the 4322 number.,yes tells me the only way to mod plans is to call the number,US Airways,,neutral,negative,neutral -> negative,neutral_request_or_information,""Mostly factual follow-up about how to modify plans, not a clearly negative opinion.""";
12493,Logistic Regression,@AmericanAir thanks for the canned reply.,thanks for the canned reply,American,Customer Service Issue,negative,positive,negative -> positive,implicit_negative_or_complaint,Negative complaint uses polite wording ('thanks') that can make it appear positive.;
"9425,Logistic Regression,""@USAirways take a look at 1715. All F seats filled, so someone upgraded their friend instead of following rules."",take look at all seats filled so someone upgraded their friend instead of following rules,US Airways,Bad Flight,negative,neutral,negative -> neutral,implicit_negative_or_complaint,""Complaint about unfair upgrade behavior, but stated descriptively rather than with explicit emotion words.""";
5717,Logistic Regression,@SouthwestAir  Longer flights with 300 series no wifi? Will be great when you retire them.,longer flights with series no wifi will be great when you retire them,Southwest,Customer Service Issue,negative,positive,negative -> positive,implicit_negative_or_complaint,The phrase 'will be great when you retire them' is negative in meaning but contains positive-looking words like 'great'.;
3609,Logistic Regression,@united was in the air. Just DMd you,was in the air just dmd you,United,,neutral,positive,neutral -> positive,neutral_request_or_information,Short factual follow-up ('Just DMd you') with little sentiment content.;
641,Logistic Regression,@united please be good to me this weekend!,please be good to me this weekend,United,,neutral,positive,neutral -> positive,neutral_request_or_information,This is more like a hopeful request than a positive review or complaint.;
"3619,Logistic Regression,@united sprinted from C concourse to E and just made it. Coughed up a lung in the process but am now in CLT! Tnx!,sprinted from concourse to and just made it coughed up lung in the process but am now in clt tnx,United,,neutral,positive,neutral -> positive,mixed_or_ambiguous_sentiment,""The tweet describes a stressful situation but ends positively ('made it', 'Tnx'), giving mixed cues.""";
"12947,Logistic Regression,@AmericanAir it was 639,it was,American,,neutral,positive,neutral -> positive,preprocessing_or_context_loss,""Extremely short reply. After cleaning almost all useful context disappears, making sentiment hard to infer.""";
5180,Logistic Regression,@SouthwestAir lost bag on flight to Vegas. Now to El Paso. Going to Dallas love. Gate attendant said see if can coordinate to get it to Love,lost bag on flight to vegas now to el paso going to dallas love gate attendant said see if can coordinate to get it to love,Southwest,Lost Luggage,negative,neutral,negative -> neutral,implicit_negative_or_complaint,Complaint about lost luggage is expressed mostly through factual description and coordination details.;
453,Logistic Regression,@VirginAmerica That's classy.,thats classy,Virgin America,,positive,neutral,positive -> neutral,positive_but_informal_or_subtle,Short positive praise ('That's classy') is informal and lacks stronger sentiment context.;
"4607,Logistic Regression,@SouthwestAir telling my Fam in Vegas now. :),telling my fam in vegas now,Southwest,,positive,neutral,positive -> neutral,preprocessing_or_context_loss,""Original positive cue likely depended partly on emoji/smiley, but cleaning removes that sentiment signal.""";
"407,Logistic Regression,@VirginAmerica FYI the info@virginamerica.com email address you say to contact in password reset emails doesn't exist. Emails bounce.,fyi the infocom email address you say to contact in password reset emails doesnt exist emails bounce,Virgin America,Customer Service Issue,negative,neutral,negative -> neutral,implicit_negative_or_complaint,""Complaint about broken support email is stated factually, which may make it look neutral.""";
"7764,Logistic Regression,@JetBlue Counting on your flight 989 to get to DC!,counting on your flight to get to dc,Delta,,positive,negative,positive -> negative,positive_but_informal_or_subtle,""This looks like hopeful or supportive language toward the flight, but the sentiment is mild and context-dependent.""";
"4428,Logistic Regression,@SouthwestAir and thx for not responding,and thx for not responding,Southwest,Customer Service Issue,negative,positive,negative -> positive,implicit_negative_or_complaint,""The tweet is clearly sarcastic. Although it contains the positive-looking word 'thx', it actually expresses frustration about being ignored.""";
6560,Logistic Regression,@SouthwestAir Nashville airport has runways open. It appears southwest is only airline Cancelled Flighting flights. Is this likely to change?,nashville airport has runways open it appears southwest is only airline cancelled flighting flights is this likely to change,Southwest,Cancelled Flight,negative,neutral,negative -> neutral,implicit_negative_or_complaint,Complaint about cancellations is phrased as a question asking whether the situation will change.;
"3552,Naive Bayes,@united flight...gotta make this connector,flightgotta make this connector,United,,neutral,negative,neutral -> negative,neutral_request_or_information,""Mainly expresses urgency about making a connection, not a direct negative opinion about the airline.""";
"13232,Naive Bayes,@AmericanAir it's always nice coming home but I wish you'd fly LAX-MAD and keep me away from Iberia 😜✈️ #GoingForGreat,its always nice coming home but wish youd fly laxmad and keep me away from iberia goingforgreat,American,,positive,negative,positive -> negative,mixed_or_ambiguous_sentiment,""The tweet is overall positive, but includes a wish/complaint component about routes and another airline, creating mixed cues.""";
"11461,Naive Bayes,@USAirways yes and our flight attendant (who is wonderful btw) secured the tray table so it's not flailing about. http://t.co/JhXWMuTx4G,yes and our flight attendant who is wonderful btw secured the tray table so its not flailing about,US Airways,,positive,negative,positive -> negative,mixed_or_ambiguous_sentiment,""Contains explicit praise ('wonderful') but also mentions a malfunctioning tray table, producing mixed signals.""";
"3203,Naive Bayes,@united Want to book a multi-city fare. Have miles for 1of 2 flights. An option to pay for 1st flight with miles +2nd with UMP Visa? Thanks!,want to book multicity fare have miles for of flights an option to pay for st flight with miles nd with ump visa thanks,United,,neutral,negative,neutral -> negative,neutral_request_or_information,""Practical booking question about fares and miles, not a complaint.""";
5488,Naive Bayes,@SouthwestAir @SwagglikeBean take me here,take me here,Southwest,,neutral,negative,neutral -> negative,preprocessing_or_context_loss,Very short tweet with little standalone sentiment. Likely depends on missing external context.;
"11952,Naive Bayes,@AmericanAir Aww cool! It's nice to know they are still up above my head then. One of my faves.,aww cool its nice to know they are still up above my head then one of my faves,American,,positive,negative,positive -> negative,positive_but_informal_or_subtle,""The tweet is clearly positive, but the praise is expressed through informal words ('Aww', 'cool', 'faves'). This suggests Naive Bayes struggles with casual positive language and may be biased toward negative predictions.""";
2795,Naive Bayes,@united how long does it take for customer feedback to respond to a complaint?,how long does it take for customer feedback to respond to complaint,United,,neutral,negative,neutral -> negative,neutral_request_or_information,Question asking about complaint response time. Mentions a complaint but is itself informational.;
"7185,Naive Bayes,""@JetBlue Indeed. I don't know what's going on in Pittsburgh that weekend, but, it's drawing a crowd via JetBlue!"",indeed dont know whats going on in pittsburgh that weekend but its drawing crowd via jetblue,Delta,,neutral,negative,neutral -> negative,neutral_request_or_information,The tweet is a conversational observation that many people seem to be flying to Pittsburgh that weekend. It does not express a clear positive or negative opinion about the airline.";
"13120,Naive Bayes,@AmericanAir I wrote down the evoucher number. I got rid of the voucher when I purchased air fair,wrote down the evoucher number got rid of the voucher when purchased air fair,American,,neutral,negative,neutral -> negative,neutral_request_or_information,""Mostly factual explanation about an e-voucher, without clear sentiment.""";
11118,Naive Bayes,@USAirways I just think it's weird to have mileage as 666,just think its weird to have mileage as,US Airways,,positive,neutral,positive -> neutral,possible_label_noise_or_hard_case,The true positive label is difficult to justify from the text alone. The tweet reads more like a neutral or playful remark than a clearly positive opinion about the airline.;
"5917,Naive Bayes,@SouthwestAir I was just sitting here talking at a tech conference about how awesome you guys are and this rolled across. Luv you guys! #LOL,was just sitting here talking at tech conference about how awesome you guys are and this rolled across luv you guys lol,Southwest,,positive,negative,positive -> negative,positive_but_informal_or_subtle,""Strongly positive tweet ('awesome', 'Luv you guys'), but informal wording may confuse a simple model.""";
"6108,Naive Bayes,""@SouthwestAir I had to travel to Savannah, GA, once again, on an airline I don't """"Luv"""". When r u going to fly me to Savannah? Pleeeease!!!!"",had to travel to savannah ga once again on an airline dont luv when going to fly me to savannah pleeeease,Southwest,,neutral,negative,neutral -> negative,mixed_or_ambiguous_sentiment,""The tweet expresses frustration about having to use another airline, but also implies a positive preference for Southwest and asks them to add the route. It contains both negative and positive cues.""";
"7703,Naive Bayes,@JetBlue I would love to Fort Lauderdale now that would cool.,would love to fort lauderdale now that would cool,Delta,,neutral,positive,neutral -> positive,neutral_request_or_information,""The tweet appears to mean 'I would love to go/fly to Fort Lauderdale, that would be cool.' It expresses a travel wish rather than a clear opinion about the airline.""";
"7345,Naive Bayes,@JetBlue Ricoh Smith at BOS provided oust and service,ricoh smith at bos provided oust and service,Delta,,neutral,positive,neutral -> positive,preprocessing_or_context_loss,""The tweet appears to be incomplete and was likely intended as praise such as 'provided outstanding service'. Because the key word is unclear, the sentiment is difficult to determine reliably from the text alone.""";
"3003,Naive Bayes,""@united I need a breakdown of what the """"international surcharge"""" on my flights cover. Please help"",need breakdown of what the international surcharge on my flights cover please help,United,,neutral,negative,neutral -> negative,neutral_request_or_information,""Mainly asking for clarification about a surcharge, not explicitly complaining.""";
13213,Naive Bayes,@AmericanAir done.,done,American,,neutral,negative,neutral -> negative,preprocessing_or_context_loss,Single-word reply ('done') contains almost no sentiment and depends heavily on prior conversation context.;
"6720,Naive Bayes,@SouthwestAir Can you link the article where it says the routes and what times the routes are likely to be? Like TUL-DAL 1:00PM - 7 None,can you link the article where it says the routes and what times the routes are likely to be like tuldal pm none,Southwest,,neutral,negative,neutral -> negative,neutral_request_or_information,""Simple request for route/timing information, not a clear complaint.""";
"8824,Naive Bayes,@JetBlue's CEO battles to appease passengers and Wall Street - http://t.co/uy28D1UEgX http://t.co/vJFV7KSGcQ,ceo battles to appease passengers and wall street,Delta,,positive,neutral,positive -> neutral,neutral_request_or_information,""This tweet mainly shares a news headline rather than expressing the user's own clear sentiment about the airline, so the positive label may be difficult for the model to detect.""";
"117,Naive Bayes,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,and again another rep kicked butt naelah represents your team so beautifully thank you,Virgin America,,positive,negative,positive -> negative,positive_but_informal_or_subtle,""Strongly positive praise and thanks, but informal expression like 'kicked butt' may not be captured well by the model.""";
"12449,Naive Bayes,@AmericanAir try this. DPDFPP,try this dpdfpp,American,,neutral,negative,neutral -> negative,preprocessing_or_context_loss,""Very short reply ('try this') depends almost entirely on conversational context, so sentiment is hard to infer.""";
